,index,Latitude,City,Country,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
327,327,15.13,vila do maio,cv,-23.22,77.0,47.0,56.0,17.22,1579897466
328,328,33.07,porto santo,pt,-16.34,60.8,63.0,40.0,16.11,1579897466
329,329,60.14,nanortalik,gl,-45.24,23.25,79.0,100.0,25.46,1579897246
330,330,22.24,dwarka,in,68.97,72.09,55.0,39.0,7.43,1579897433
331,331,-14.17,santa rosa,bo,-66.88,95.0,50.0,20.0,9.17,1579897466
332,332,54.67,svetlyy,ru,20.13,41.0,93.0,90.0,17.9,1579897466
333,333,53.71,szczecinek,pl,16.7,35.01,95.0,62.0,9.35,1579897466
334,334,40.43,west lafayette,us,-86.91,41.0,100.0,90.0,5.01,1579897288
335,335,-20.74,karratha,au,116.85,84.06,77.0,19.0,13.73,1579897365
336,336,50.1,krasnokamensk,ru,118.04,-12.69,86.0,0.0,2.93,1579897466
337,337,53.22,drayton valley,ca,-114.99,33.51,98.0,100.0,3.36,1579897467
338,338,70.86,berlevag,no,29.09,15.8,85.0,40.0,3.36,1579897467
339,339,42.78,kemin,kg,75.69,24.64,88.0,98.0,3.0,1579897467
340,340,59.78,otradnoye,ru,30.82,35.01,86.0,75.0,11.18,1579897467
341,341,59.36,visnes,no,5.22,43.0,81.0,40.0,13.87,1579897467
342,342,-31.9,taree,au,152.47,75.0,94.0,90.0,2.71,1579897467
343,343,60.72,qaqortoq,gl,-46.03,24.8,79.0,75.0,27.56,1579897467
344,344,-0.19,puerto leguizamo,co,-74.78,85.28,67.0,100.0,4.27,1579897360
345,345,-31.47,calvinia,za,19.78,68.05,49.0,0.0,9.53,1579897467
346,346,-12.74,vilhena,br,-60.15,75.2,83.0,75.0,13.87,1579897417
347,347,66.56,aksarka,ru,67.8,1.13,97.0,100.0,3.94,1579897468
348,348,-9.07,bom jesus,br,-44.36,79.47,74.0,97.0,3.71,1579897284
349,349,-17.74,joao pinheiro,br,-46.17,71.42,95.0,100.0,8.21,1579897468
350,350,56.54,tyukhtet,ru,89.3,28.81,96.0,100.0,10.87,1579897266
351,351,25.75,adrar,dz,-1.0,68.23,21.0,100.0,9.51,1579897468
352,352,62.58,kurikka,fi,22.42,35.6,69.0,67.0,9.17,1579897469
353,353,53.87,cuxhaven,de,8.69,39.99,93.0,90.0,9.17,1579897469
354,354,-38.33,portland,au,141.6,61.47,88.0,23.0,17.78,1579897469
355,355,12.35,yorosso,ml,-4.78,79.21,8.0,1.0,11.34,1579897469
356,356,42.75,teo,es,-8.5,54.0,93.0,40.0,1.12,1579897469
357,357,23.17,nuevo progreso,mx,-97.95,75.0,72.0,70.0,8.99,1579897469
358,358,-15.2,namibe,ao,12.15,74.66,79.0,21.0,10.65,1579897469
359,359,5.66,mana,gf,-53.78,80.2,72.0,44.0,5.75,1579897469
360,360,43.42,llanes,es,-4.75,50.0,10.0,90.0,4.92,1579897469
361,361,-3.54,vargem grande,br,-43.92,77.81,95.0,100.0,3.58,1579897469
362,362,-19.57,grootfontein,na,18.12,68.13,79.0,87.0,6.6,1579897470
363,363,8.01,upata,ve,-62.4,87.51,41.0,19.0,3.47,1579897470
364,364,-28.77,geraldton,au,114.6,60.8,77.0,33.0,5.82,1579897470
365,365,35.57,semnan,ir,53.4,33.33,51.0,0.0,7.36,1579897470
366,366,-33.13,rio cuarto,ar,-64.35,89.6,35.0,40.0,12.75,1579897470
367,367,-43.53,christchurch,nz,172.63,80.01,93.0,100.0,8.05,1579897372
368,368,-28.48,laguna,br,-48.78,70.54,96.0,7.0,2.66,1579897470
369,369,67.68,iskateley,ru,53.15,-5.76,99.0,99.0,3.51,1579897470
370,370,-26.98,orkney,za,26.67,64.02,69.0,99.0,4.76,1579897470
371,371,-6.12,kiunga,pg,141.29,73.33,99.0,84.0,0.72,1579897546
372,372,8.4,la palma,pa,-78.15,84.34,64.0,94.0,10.31,1579897546
373,373,56.35,severnoye,ru,78.36,28.89,94.0,100.0,8.75,1579897546
374,374,5.03,zemio,cf,25.14,69.66,26.0,100.0,5.73,1579897546
375,375,-38.55,necochea,ar,-58.74,75.99,76.0,0.0,4.0,1579897546
376,376,51.5,engels,ru,46.12,25.0,80.0,100.0,5.01,1579897443
377,377,31.22,alexandria,eg,29.96,55.4,50.0,40.0,6.93,1579897531
378,378,-6.22,kieta,pg,155.63,81.54,75.0,33.0,4.18,1579897546
379,379,14.35,filingue,ne,3.32,76.05,9.0,59.0,10.74,1579897546
380,380,30.48,san quintin,mx,-115.95,63.32,69.0,100.0,7.76,1579897547
381,381,18.93,sompeta,in,84.6,64.81,81.0,93.0,2.42,1579897547
382,382,36.73,qunduz,af,68.86,38.23,78.0,92.0,3.36,1579897547
383,383,-13.88,sola,vu,167.55,81.61,80.0,19.0,15.68,1579897547
384,384,-17.97,broome,au,122.23,84.2,83.0,75.0,9.17,1579897547
385,385,48.38,senneterre,ca,-77.23,26.6,86.0,75.0,5.82,1579897547
386,386,67.63,batagay,ru,134.63,-40.76,93.0,51.0,1.54,1579897547
387,387,20.15,akyab,mm,92.9,63.01,48.0,80.0,12.88,1579897547
388,388,-17.47,vavatenina,mg,49.2,69.91,98.0,100.0,0.98,1579897547
389,389,33.07,hanzhong,cn,107.03,36.39,91.0,91.0,0.34,1579897547
390,390,23.63,mawlaik,mm,94.42,49.17,59.0,10.0,1.83,1579897548
391,391,65.82,turukhansk,ru,87.98,17.37,94.0,100.0,9.35,1579897548
392,392,63.84,grindavik,is,-22.43,33.8,82.0,90.0,21.92,1579897548
393,393,20.89,kahului,us,-156.47,78.8,65.0,1.0,4.7,1579897548
394,394,26.62,high rock,bs,-78.28,69.8,88.0,75.0,3.36,1579897548
395,395,40.52,craig,us,-107.55,33.8,91.0,1.0,1.66,1579897548
396,396,58.21,stornoway,gb,-6.39,46.99,100.0,75.0,21.92,1579897548
397,397,13.49,la libertad,sv,-89.32,87.8,58.0,40.0,9.17,1579897548
398,398,65.11,kozhva,ru,57.05,-1.53,97.0,93.0,3.87,1579897548
399,399,60.57,nesbyen,no,9.1,33.01,68.0,13.0,10.0,1579897549
400,400,16.02,kerur,in,75.57,68.99,40.0,98.0,8.12,1579897549
401,401,50.35,kyakhta,ru,106.45,-6.03,90.0,0.0,3.91,1579897549
402,402,24.7,islamkot,pk,70.18,63.93,28.0,68.0,3.27,1579897549
403,403,51.68,kyren,ru,102.14,6.6,71.0,4.0,8.93,1579897549
404,404,18.42,road town,vg,-64.62,75.2,88.0,90.0,11.34,1579897549
405,405,-6.48,cuite,br,-36.15,80.29,60.0,100.0,10.89,1579897549
406,406,48.65,bonavista,ca,-53.11,19.81,68.0,38.0,19.8,1579897549
407,407,-0.09,booue,ga,11.94,75.24,78.0,42.0,2.91,1579897549
408,408,4.95,sassandra,ci,-6.08,80.22,86.0,21.0,6.13,1579897550
409,409,34.17,leh,in,77.58,-6.02,80.0,97.0,3.74,1579897375
410,410,67.47,tazovskiy,ru,78.7,2.93,96.0,94.0,6.58,1579897550
411,411,52.05,mazyr,by,29.25,34.09,80.0,100.0,13.49,1579897550
412,412,-10.88,chiungutwa,tz,38.98,72.46,97.0,65.0,2.44,1579897550
413,413,-35.26,russell,nz,174.12,73.0,85.0,1.0,1.01,1579897550
414,414,55.72,yurga,ru,84.89,27.75,96.0,100.0,13.89,1579897550
415,415,34.41,isla vista,us,-119.86,73.0,63.0,1.0,6.93,1579897550
416,416,63.28,nyurba,ru,118.33,-29.76,95.0,99.0,6.71,1579897551
417,417,-6.15,mbuji-mayi,cd,23.6,75.94,70.0,59.0,3.02,1579897551
418,418,-0.87,manokwari,id,134.08,72.16,77.0,29.0,2.89,1579897398
419,419,16.89,mindelo,cv,-24.98,75.2,60.0,0.0,11.41,1579897551
420,420,-8.01,olinda,br,-34.86,84.2,74.0,75.0,5.82,1579897551
421,421,53.53,stony plain,ca,-114.0,39.0,74.0,75.0,11.41,1579897504
422,422,-31.59,umtata,za,28.78,64.4,82.0,100.0,5.82,1579897551
423,423,26.33,buraydah,sa,43.98,50.0,20.0,0.0,8.05,1579897551
424,424,-11.21,sumbe,ao,13.84,76.19,89.0,64.0,2.84,1579897551
425,425,-7.38,kawalu,id,108.21,71.01,92.0,100.0,1.34,1579897551
426,426,53.45,ust-barguzin,ru,108.98,-5.85,88.0,64.0,4.65,1579897551
427,427,-33.04,valparaiso,cl,-71.63,71.6,60.0,24.0,11.41,1579897552
428,428,60.34,vanavara,ru,102.28,12.51,96.0,100.0,4.45,1579897552
429,429,63.87,nadvoitsy,ru,34.32,20.1,93.0,99.0,7.9,1579897552
430,430,36.85,virginia beach,us,-75.98,63.0,71.0,90.0,5.82,1579897520
431,431,27.91,santa lucia,es,-15.54,63.0,63.0,20.0,3.36,1579897552
432,432,37.7,dublin,us,-121.94,66.2,68.0,1.0,6.93,1579897282
433,433,57.13,znamenskoye,ru,73.83,16.43,97.0,100.0,1.81,1579897552
434,434,56.91,chara,ru,118.26,-18.51,76.0,1.0,1.3,1579897552
435,435,33.06,wencheng,cn,113.8,34.88,95.0,100.0,12.01,1579897552
436,436,18.33,ha tinh,vn,105.9,73.38,88.0,79.0,12.57,1579897552
437,437,43.32,nemuro,jp,145.57,19.96,84.0,97.0,23.09,1579897552
438,438,-36.83,whitianga,nz,175.7,71.01,77.0,35.0,4.0,1579897316
439,439,61.32,ovre ardal,no,7.8,33.8,86.0,90.0,35.57,1579897553
440,440,44.16,zharkent,kz,80.0,28.49,77.0,100.0,7.96,1579897553
441,441,-8.74,kamina,cd,24.99,65.41,94.0,100.0,1.48,1579897553
442,442,40.13,chester,us,-75.87,55.99,50.0,90.0,10.29,1579897401
443,443,-5.15,limoeiro do norte,br,-38.1,84.7,55.0,94.0,8.21,1579897553
444,444,-22.43,moerai,pf,-151.33,80.29,78.0,66.0,8.97,1579897553
445,445,16.86,acapulco,mx,-99.89,87.8,58.0,20.0,5.82,1579897506
446,446,22.67,cao bang,vn,106.25,59.85,96.0,100.0,4.68,1579897553
447,447,-16.27,san javier,bo,-62.5,87.8,89.0,40.0,13.87,1579897553
448,448,36.12,stillwater,us,-97.06,52.0,52.0,1.0,8.05,1579897553
449,449,37.15,yatou,cn,122.38,35.83,58.0,100.0,17.2,1579897554
450,450,-35.34,swan hill,au,143.55,63.99,60.0,47.0,4.25,1579897554
451,451,48.55,stephenville,ca,-58.58,19.4,62.0,20.0,4.7,1579897554
452,452,62.23,klaksvik,fo,-6.59,39.2,86.0,100.0,11.41,1579897554
453,453,35.55,sakaiminato,jp,133.23,44.6,75.0,75.0,13.87,1579897554
454,454,-35.1,kaeo,nz,173.78,73.0,100.0,0.0,1.99,1579897554
455,455,48.59,shubarshi,kz,57.19,6.53,97.0,62.0,10.4,1579897554
456,456,24.47,abu dhabi,ae,54.37,64.4,77.0,5.0,2.24,1579897554
457,457,-8.84,luanda,ao,13.23,82.4,74.0,75.0,9.17,1579897510
458,458,-5.09,paita,pe,-81.11,62.6,100.0,98.0,14.99,1579897630
459,459,69.38,leningradskiy,ru,178.42,-23.28,73.0,0.0,1.54,1579897630
460,460,-11.38,mitsamiouli,km,43.28,75.2,100.0,40.0,4.7,1579897630
461,461,-23.53,emerald,au,148.17,77.0,100.0,75.0,4.7,1579897355
462,462,16.17,salina cruz,mx,-95.2,80.19,69.0,0.0,23.49,1579897630
463,463,37.72,vila franca do campo,pt,-25.43,55.4,76.0,75.0,6.93,1579897630
464,464,7.98,eyl,so,49.82,79.23,85.0,99.0,21.85,1579897344
465,465,49.98,kulynychi,ua,36.38,32.0,92.0,90.0,11.18,1579897443
466,466,50.73,romny,ru,129.29,-18.98,93.0,0.0,1.23,1579897630
467,467,53.05,petropavlovsk-kamchatskiy,ru,158.65,10.4,60.0,100.0,2.24,1579897594
468,468,29.05,sahuaripa,mx,-109.23,69.76,31.0,85.0,5.84,1579897630
469,469,50.01,beauchamps,fr,1.52,34.0,100.0,0.0,8.05,1579897631
470,470,-36.62,coihueco,cl,-71.83,93.2,15.0,0.0,17.22,1579897631
471,471,-31.54,san juan,ar,-68.54,98.47,17.0,99.0,15.86,1579897631
472,472,4.18,bosobolo,cd,19.9,70.83,23.0,100.0,2.39,1579897631
473,473,-1.57,omboue,ga,9.26,76.95,92.0,39.0,2.53,1579897631
474,474,-32.82,paso de los toros,uy,-56.52,87.31,34.0,0.0,8.12,1579897631
475,475,37.57,seoul,kr,126.98,32.0,86.0,40.0,2.42,1579897517
476,476,18.47,davila,ph,120.58,76.87,74.0,82.0,11.5,1579897631
477,477,23.63,ramgarh,in,85.52,51.8,66.0,0.0,5.79,1579897632
478,478,49.63,carlyle,ca,-102.27,21.2,92.0,1.0,10.29,1579897632
479,479,51.5,ozernovskiy,ru,156.52,5.49,90.0,100.0,7.0,1579897632
480,480,14.46,illela,ne,5.24,77.0,5.0,11.0,6.93,1579897632
481,481,59.24,ossora,ru,163.07,13.48,90.0,100.0,26.89,1579897632
482,482,38.93,zhangye,cn,100.45,23.07,38.0,88.0,6.02,1579897632
483,483,42.06,akdepe,tm,59.38,32.0,68.0,100.0,2.24,1579897632
484,484,-9.43,honiara,sb,159.95,75.2,100.0,40.0,1.95,1579897632
485,485,24.03,cockburn town,bs,-74.52,74.03,70.0,0.0,13.2,1579897632
486,486,64.57,ust-nera,ru,143.2,-46.68,100.0,78.0,1.54,1579897633
487,487,52.85,radishchevo,ru,47.88,19.45,90.0,100.0,19.37,1579897633
488,488,-3.32,bandundu,cd,17.37,78.37,60.0,65.0,1.97,1579897633
489,489,40.33,johnstown,us,-78.92,46.0,84.0,90.0,10.29,1579897633
490,490,-12.35,lobito,ao,13.55,78.8,83.0,40.0,4.7,1579897633
491,491,-31.38,salto,uy,-57.97,86.0,55.0,75.0,5.82,1579897446
492,492,54.56,tulun,ru,100.58,17.28,81.0,100.0,4.85,1579897633
493,493,12.58,san andres,co,-81.7,82.4,61.0,40.0,9.17,1579897633
494,494,51.23,saint-augustin,ca,-58.65,6.19,73.0,0.0,13.8,1579897633
495,495,-0.9,san cristobal,ec,-89.62,80.6,78.0,40.0,13.87,1579897633
496,496,-25.19,rio branco do sul,br,-49.31,70.0,68.0,75.0,16.11,1579897634
497,497,55.93,esso,ru,158.7,-8.52,96.0,100.0,5.35,1579897634
498,498,34.02,balad,iq,44.15,49.84,74.0,100.0,16.82,1579897634
499,499,64.25,hofn,is,-15.21,33.8,55.0,20.0,8.05,1579897634
500,500,63.32,lieksa,fi,30.02,27.19,89.0,85.0,8.7,1579897634
501,501,42.87,pocatello,us,-112.45,37.99,86.0,90.0,7.29,1579897587
502,502,41.25,chardara,kz,67.97,40.89,83.0,50.0,5.73,1579897635
503,503,-8.1,gizo,sb,156.84,79.54,84.0,26.0,6.85,1579897635
504,504,9.54,ko samui,th,99.94,80.13,72.0,67.0,11.97,1579897635
505,505,-8.18,tocache,pe,-76.51,76.3,84.0,71.0,0.83,1579897635
506,506,-6.75,ngerengere,tz,38.12,75.2,94.0,75.0,2.82,1579897636
507,507,50.2,sept-iles,ca,-66.38,17.6,52.0,20.0,3.36,1579897409
508,508,35.85,chitral,pk,71.79,11.93,91.0,100.0,1.66,1579897636
509,509,26.18,nishihara,jp,127.76,71.6,88.0,75.0,6.93,1579897636
510,510,30.37,pascagoula,us,-88.56,66.2,34.0,1.0,4.7,1579897615
511,511,51.1,derzhavinsk,kz,66.32,12.06,95.0,98.0,12.88,1579897636
512,512,22.83,amlagora,in,87.33,55.06,41.0,0.0,4.0,1579897636
513,513,29.6,shiraz,ir,52.54,32.0,55.0,0.0,1.79,1579897512
514,514,38.2,lixourion,gr,20.43,57.65,71.0,100.0,3.6,1579897636
515,515,-0.22,boende,cd,20.87,75.85,31.0,98.0,3.76,1579897636
516,516,59.64,homer,us,-151.55,15.8,60.0,1.0,13.82,1579897637
517,517,-10.17,kupang,id,123.58,82.99,73.0,100.0,1.9,1579897346
518,518,21.39,nanakuli,us,-158.15,78.01,65.0,1.0,5.82,1579897338
519,519,-12.49,palmerston,au,130.98,84.2,83.0,20.0,8.05,1579897637
520,520,-19.06,alofi,nu,-169.92,81.75,83.0,100.0,14.76,1579897637
521,521,36.21,neyshabur,ir,58.8,31.59,65.0,0.0,4.14,1579897637
522,522,66.03,inta,ru,60.17,2.12,95.0,98.0,10.47,1579897637
523,523,70.98,honningsvag,no,25.97,23.0,79.0,99.0,10.29,1579897637
524,524,-20.15,bulawayo,zw,28.58,66.9,78.0,89.0,11.45,1579897637
525,525,-25.4,taltal,cl,-70.48,73.51,70.0,8.0,6.67,1579897637
526,526,22.68,taoudenni,ml,-3.98,78.22,16.0,100.0,7.76,1579897638
527,527,50.7,port hardy,ca,-127.42,46.4,100.0,75.0,2.24,1579897638
528,528,57.34,rameshki,ru,36.05,32.2,93.0,100.0,7.54,1579897638
529,529,20.7,ixtapa,mx,-105.2,81.0,69.0,20.0,9.17,1579897638
530,530,-14.8,cuamba,mz,36.54,67.1,92.0,80.0,5.79,1579897638
